⌚	watch	clock|time|watch
🦖	T-Rex	dinosaur|Rex|T|T-Rex|Tyrannosaurus
🦗	cricket	animal|bug|cricket|grasshopper|insect|Orthoptera
🦘	kangaroo	animal|joey|jump|kangaroo|marsupial
🦙	llama	alpaca|animal|guanaco|llama|vicuña|wool
🦚	peacock	animal|bird|colorful|ornithology|ostentatious|peacock|peahen|pretty|proud
🦛	hippopotamus	animal|hippo|hippopotamus
🦜	parrot	animal|bird|ornithology|parrot|pirate|talk
🦝	raccoon	animal|curious|raccoon|sly
🦞	lobster	animal|bisque|claws|lobster|seafood
🦟	mosquito	bite|disease|fever|insect|malaria|mosquito|pest|virus
🦠	microbe	amoeba|bacteria|microbe|science|virus
🦡	badger	animal|badger|honey|pester
🦢	swan	animal|bird|cygnet|duckling|ornithology|swan|ugly
🦣	mammoth	animal|extinction|large|mammoth|tusk|wooly
🦤	dodo	animal|bird|dodo|extinction|large|ornithology
🦥	sloth	lazy|sloth|slow
🦦	otter	animal|fishing|otter|playful
🦧	orangutan	animal|ape|monkey|orangutan
🦨	skunk	animal|skunk|stink
🦩	flamingo	animal|bird|flamboyant|flamingo|ornithology|tropical
🦪	oyster	diving|oyster|pearl
🦫	beaver	animal|beaver|dam|teeth
🦬	bison	animal|bison|buffalo|herd|wisent
🦭	seal	animal|lion|ocean|sea|seal
🦮	guide dog	accessibility|animal|blind|dog|guide
🦯	white cane	accessibility|blind|cane|probing|white
🦴	bone	bone|bones|dog|skeleton|wishbone
🦵	leg	bent|foot|kick|knee|leg|limb
🦶	foot	ankle|feet|foot|kick|stomp
🦷	tooth	dentist|pearly|teeth|tooth|white
🦸	superhero	good|hero|superhero|superpower
🦹	supervillain	bad|criminal|evil|superpower|supervillain|villain
🦺	safety vest	emergency|safety|vest
🦻	ear with hearing aid	accessibility|aid|ear|hard|hearing
🦼	motorized wheelchair	accessibility|motorized|wheelchair
🦽	manual wheelchair	accessibility|manual|wheelchair
🦾	mechanical arm	accessibility|arm|mechanical|prosthetic
🦿	mechanical leg	accessibility|leg|mechanical|prosthetic
🧀	cheese wedge	cheese|wedge
🧁	cupcake	bakery|cupcake|dessert|sprinkles|sugar|sweet|treat
🧂	salt	condiment|flavor|mad|salt|salty|shaker|taste|upset
🧃	beverage box	beverage|box|juice|straw|sweet
🧄	garlic	flavoring|garlic
🧅	onion	flavoring|onion
🧆	falafel	chickpea|falafel|meatball
🧇	waffle	breakfast|indecisive|iron|waffle
🧈	butter	butter|dairy
🧉	mate	drink|mate
🧊	ice	cold|cube|ice|iceberg
🧋	bubble tea	boba|bubble|food|milk|pearl|tea
🧌	troll	fairy|fantasy|monster|tale|troll|trolling
🧍	person standing	person|stand|standing
🧎	person kneeling	kneel|kneeling|knees|person
🧏	deaf person	accessibility|deaf|ear|gesture|hear|person
🧐	face with monocle	classy|face|fancy|monocle|rich|stuffy|wealthy
🧑	person	adult|person
🧑‍🌾	farmer	farmer|gardener|rancher
🧑‍🍳	cook	chef|cook
🧑‍🍼	person feeding baby	baby|feed|feeding|nanny|newborn|nursing|parent
🧑‍🎄	Mx Claus	celebration|Christmas|claus|fairy|fantasy|holiday|merry|Mx|santa|tale|xmas
🧑‍🎓	student	graduate|student
🧑‍🎤	singer	actor|entertainer|rock|rockstar|singer|star
🧑‍🎨	artist	artist|palette
🧑‍🏫	teacher	instructor|lecturer|professor|teacher
🧑‍🏭	factory worker	assembly|factory|industrial|worker
🧑‍💻	technologist	coder|computer|developer|inventor|software|technologist
🧑‍💼	office worker	architect|business|manager|office|white-collar|worker
🧑‍🔧	mechanic	electrician|mechanic|plumber|tradesperson
🧑‍🔬	scientist	biologist|chemist|engineer|mathematician|physicist|scientist
🧑‍🚀	astronaut	astronaut|rocket|space
🧑‍🚒	firefighter	fire|firefighter|firetruck
🧑‍🤝‍🧑	people holding hands	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|people|twins
🧑‍🦯	person with white cane	accessibility|blind|cane|person|probing|white
🧑‍🦼	person in motorized wheelchair	accessibility|motorized|person|wheelchair
🧑‍🦽	person in manual wheelchair	accessibility|manual|person|wheelchair
🧑‍🧑‍🧒	family: adult, adult, child	adult|child|family
🧑‍🧑‍🧒‍🧒	family: adult, adult, child, child	adult|child|family
🧑‍🧒	family: adult, child	adult|child|family
🧑‍🧒‍🧒	family: adult, child, child	adult|child|family
🧒	child	bright-eyed|child|grandchild|kid|young|younger
🧓	older person	adult|elderly|grandparent|old|person|wise
🧔	person: beard	beard|bearded|person|whiskers
🧕	woman with headscarf	bandana|head|headscarf|hijab|kerchief|mantilla|tichel|woman
🧖	person in steamy room	day|luxurious|pamper|person|relax|room|sauna|spa|steam|steambath|unwind
🧗	person climbing	climb|climber|climbing|mountain|person|rock|scale|up
🧘	person in lotus position	cross|legged|legs|lotus|meditation|peace|person|position|relax|serenity|yoga|yogi|zen
🧙	mage	fantasy|mage|magic|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧚	fairy	fairy|fairytale|fantasy|myth|person|pixie|tale|wings
🧛	vampire	blood|Dracula|fangs|halloween|scary|supernatural|teeth|undead|vampire
🧜	merperson	creature|fairytale|folklore|merperson|ocean|sea|siren|trident
🧝	elf	elf|elves|enchantment|fantasy|folklore|magic|magical|myth
🧞	genie	djinn|fantasy|genie|jinn|lamp|myth|rub|wishes
🧟	zombie	apocalypse|dead|halloween|horror|scary|undead|walking|zombie
🧠	brain	brain|intelligent|smart
🧡	orange heart	143|heart|orange
🧢	billed cap	baseball|bent|billed|cap|dad|hat
🧣	scarf	bundle|cold|neck|scarf|up
🧤	gloves	gloves|hand
🧥	coat	brr|bundle|coat|cold|jacket|up
🧦	socks	socks|stocking
🧧	red envelope	envelope|gift|good|hóngbāo|lai|luck|money|red|see
🧨	firecracker	dynamite|explosive|fire|firecracker|fireworks|light|pop|popping|spark
🧩	puzzle piece	clue|interlocking|jigsaw|piece|puzzle
🧪	test tube	chemist|chemistry|experiment|lab|science|test|tube
🧫	petri dish	bacteria|biologist|biology|culture|dish|lab|petri
🧬	dna	biologist|dna|evolution|gene|genetics|life
🧭	compass	compass|direction|magnetic|navigation|orienteering
🧮	abacus	abacus|calculation|calculator
🧯	fire extinguisher	extinguish|extinguisher|fire|quench
🧰	toolbox	box|chest|mechanic|red|tool|toolbox
🧱	brick	brick|bricks|clay|mortar|wall
🧲	magnet	attraction|horseshoe|magnet|magnetic|negative|positive|shape|u
🧳	luggage	bag|luggage|packing|roller|suitcase|travel
🧴	lotion bottle	bottle|lotion|moisturizer|shampoo|sunscreen
🧵	thread	needle|sewing|spool|string|thread
🧶	yarn	ball|crochet|knit|yarn
🧷	safety pin	diaper|pin|punk|rock|safety
🧸	teddy bear	bear|plaything|plush|stuffed|teddy|toy
🧹	broom	broom|cleaning|sweeping|witch
🧺	basket	basket|farming|laundry|picnic
🧻	roll of paper	paper|roll|toilet|towels
🧼	soap	bar|bathing|clean|cleaning|lather|soap|soapdish
🧽	sponge	absorbing|cleaning|porous|soak|sponge
🧾	receipt	accounting|bookkeeping|evidence|invoice|proof|receipt
🧿	nazar amulet	amulet|bead|blue|charm|evil-eye|nazar|talisman
🩰	ballet shoes	ballet|dance|shoes
🩱	one-piece swimsuit	bathing|one-piece|suit|swimsuit
🩲	briefs	bathing|briefs|one-piece|suit|swimsuit|underwear
🩳	shorts	bathing|pants|shorts|suit|swimsuit|underwear
🩴	thong sandal	beach|flip|flop|sandal|sandals|shoe|thong|thongs|zōri
🩵	light blue heart	143|blue|cute|cyan|emotion|heart|ily|light|like|love|sky|special|teal
🩶	grey heart	143|emotion|gray|grey|heart|ily|love|silver|slate|special
🩷	pink heart	143|adorable|cute|emotion|heart|ily|like|love|pink|special|sweet
🩸	drop of blood	bleed|blood|donation|drop|injury|medicine|menstruation
🩹	adhesive bandage	adhesive|bandage
🩺	stethoscope	doctor|heart|medicine|stethoscope
🩻	x-ray	bones|doctor|medical|skeleton|skull|x-ray|xray
🩼	crutch	aid|cane|crutch|disability|help|hurt|injured|mobility|stick
🪀	yo-yo	fluctuate|toy|yo-yo
🪁	kite	fly|kite|soar
🪂	parachute	hang-glide|parachute|parasail|skydive
🪃	boomerang	boomerang|rebound|repercussion|weapon
🪄	magic wand	magic|magician|wand|witch|wizard
🪅	piñata	candy|celebrate|celebration|cinco|de|festive|mayo|party|pinada|pinata|piñata
🪆	nesting dolls	babooshka|baboushka|babushka|doll|dolls|matryoshka|nesting|russia
🪇	maracas	cha|dance|instrument|maracas|music|party|percussion|rattle|shake|shaker
🪈	flute	band|fife|flautist|flute|instrument|marching|music|orchestra|piccolo|pipe|recorder|woodwind
🪉	harp	cupid|harp|instrument|love|music|orchestra
🪏	shovel	bury|dig|garden|hole|plant|scoop|shovel|snow|spade
🪐	ringed planet	planet|ringed|saturn|saturnine
🪑	chair	chair|seat|sit
🪒	razor	razor|sharp|shave
🪓	axe	ax|axe|chop|hatchet|split|wood
🪔	diya lamp	diya|lamp|light|oil
🪕	banjo	banjo|music|stringed
🪖	military helmet	army|helmet|military|soldier|war|warrior
🪗	accordion	accordion|box|concertina|instrument|music|squeeze|squeezebox
🪘	long drum	beat|conga|drum|instrument|long|rhythm
🪙	coin	coin|dollar|euro|gold|metal|money|rich|silver|treasure
🪚	carpentry saw	carpenter|carpentry|cut|lumber|saw|tool|trim
🪛	screwdriver	flathead|handy|screw|screwdriver|tool
🪜	ladder	climb|ladder|rung|step
🪝	hook	catch|crook|curve|ensnare|hook|point|selling
🪞	mirror	makeup|mirror|reflection|reflector|speculum
🪟	window	air|frame|fresh|opening|transparent|view|window
🪠	plunger	cup|force|plumber|plunger|poop|suction|toilet
🪡	sewing needle	embroidery|needle|sew|sewing|stitches|sutures|tailoring|thread
🪢	knot	cord|knot|rope|tangled|tie|twine|twist
🪣	bucket	bucket|cask|pail|vat
🪤	mouse trap	bait|cheese|lure|mouse|mousetrap|snare|trap
🪥	toothbrush	bathroom|brush|clean|dental|hygiene|teeth|toiletry|toothbrush
🪦	headstone	cemetery|dead|grave|graveyard|headstone|memorial|rip|tomb|tombstone
🪧	placard	card|demonstration|notice|picket|placard|plaque|protest|sign
🪨	rock	boulder|heavy|rock|solid|stone|tough
🪩	mirror ball	ball|dance|disco|glitter|mirror|party
🪪	identification card	card|credentials|document|ID|identification|license|security
🪫	low battery	battery|drained|electronic|energy|low|power
🪬	hamsa	amulet|Fatima|fortune|guide|hamsa|hand|Mary|Miriam|palm|protect|protection
🪭	folding hand fan	clack|clap|cool|cooling|dance|fan|flirt|flutter|folding|hand|hot|shy
🪮	hair pick	Afro|comb|groom|hair|pick
🪯	khanda	Deg|Fateh|Khalsa|Khanda|religion|Sikh|Sikhism|Tegh
🪰	fly	animal|disease|fly|insect|maggot|pest|rotting
🪱	worm	animal|annelid|earthworm|parasite|worm
🪲	beetle	animal|beetle|bug|insect
🪳	cockroach	animal|cockroach|insect|pest|roach
🪴	potted plant	decor|grow|house|nurturing|plant|pot|potted
🪵	wood	log|lumber|timber|wood
🪶	feather	bird|feather|flight|light|plumage
🪷	lotus	beauty|Buddhism|calm|flower|Hinduism|lotus|peace|purity|serenity
🪸	coral	change|climate|coral|ocean|reef|sea
🪹	empty nest	branch|empty|home|nest|nesting
🪺	nest with eggs	bird|branch|egg|eggs|nest|nesting
🪻	hyacinth	bloom|bluebonnet|flower|hyacinth|indigo|lavender|lilac|lupine|plant|purple|shrub|snapdragon|spring|violet
🪼	jellyfish	animal|aquarium|burn|invertebrate|jelly|jellyfish|life|marine|ocean|ouch|plankton|sea|sting|stinger|tentacles
🪽	wing	angelic|ascend|aviation|bird|fly|flying|heavenly|mythology|soar|wing
🪾	leafless tree	bare|barren|branches|dead|drought|leafless|tree|trunk|winter|wood
🪿	goose	animal|bird|duck|flock|fowl|gaggle|gander|geese|goose|honk|ornithology|silly
🫀	anatomical heart	anatomical|beat|cardiology|heart|heartbeat|organ|pulse|real|red
🫁	lungs	breath|breathe|exhalation|inhalation|lung|lungs|organ|respiration
🫂	people hugging	comfort|embrace|farewell|friendship|goodbye|hello|hug|hugging|love|people|thanks
🫃	pregnant man	belly|bloated|full|man|overeat|pregnant
🫄	pregnant person	belly|bloated|full|overeat|person|pregnant|stuffed
🫅	person with crown	crown|monarch|noble|person|regal|royal|royalty
🫆	fingerprint	clue|crime|detective|fingerprint|forensics|identity|mystery|print|safety|trace
🫎	moose	alces|animal|antlers|elk|mammal|moose
🫏	donkey	animal|ass|burro|donkey|hinny|mammal|mule|stubborn
🫐	blueberries	berries|berry|bilberry|blue|blueberries|blueberry|food|fruit
🫑	bell pepper	bell|capsicum|food|pepper|vegetable
🫒	olive	food|olive
🫓	flatbread	arepa|bread|flatbread|food|gordita|lavash|naan|pita
🫔	tamale	food|mexican|pamonha|tamale|wrapped
🫕	fondue	cheese|chocolate|fondue|food|melted|pot|ski
🫖	teapot	brew|drink|food|pot|tea|teapot
🫗	pouring liquid	accident|drink|empty|glass|liquid|oops|pour|pouring|spill|water
🫘	beans	beans|food|kidney|legume|small
🫙	jar	condiment|container|empty|jar|nothing|sauce|store
🫚	ginger root	beer|ginger|health|herb|natural|root|spice
🫛	pea pod	beans|beanstalk|edamame|legume|pea|pod|soybean|vegetable|veggie
🫜	root vegetable	beet|food|garden|radish|root|salad|turnip|vegetable|vegetarian
🫟	splatter	drip|holi|ink|liquid|mess|paint|spill|splatter|stain
🫠	melting face	disappear|dissolve|embarrassed|face|haha|heat|hot|liquid|lol|melt|melting|sarcasm|sarcastic
🫡	saluting face	face|good|luck|ma’am|OK|respect|salute|saluting|sir|troops|yes
🫢	face with open eyes and hand over mouth	amazement|awe|disbelief|embarrass|eyes|face|gasp|hand|mouth|omg|open|over|quiet|scared|shock|surprise
🫣	face with peeking eye	captivated|embarrass|eye|face|hide|hiding|peek|peeking|peep|scared|shy|stare
🫤	face with diagonal mouth	confused|confusion|diagonal|disappointed|doubt|doubtful|face|frustrated|frustration|meh|mouth|skeptical|unsure|whatever|wtv
🫥	dotted line face	depressed|disappear|dotted|face|hidden|hide|introvert|invisible|line|meh|whatever|wtv
🫦	biting lip	anxious|bite|biting|fear|flirt|flirting|kiss|lip|lipstick|nervous|sexy|uncomfortable|worried|worry
🫧	bubbles	bubble|bubbles|burp|clean|floating|pearl|soap|underwater
🫨	shaking face	crazy|daze|earthquake|face|omg|panic|shaking|shock|surprise|vibrate|whoa|wow
🫩	face with bags under eyes	bags|bored|exhausted|eyes|face|fatigued|late|sleepy|tired|weary
🫰	hand with index finger and thumb crossed	<3|crossed|expensive|finger|hand|heart|index|love|money|snap|thumb
🫱	rightwards hand	hand|handshake|hold|reach|right|rightward|rightwards|shake
🫲	leftwards hand	hand|handshake|hold|left|leftward|leftwards|reach|shake
🫳	palm down hand	dismiss|down|drop|dropped|hand|palm|pick|shoo|up
🫴	palm up hand	beckon|catch|come|hand|hold|know|lift|me|offer|palm|tell
🫵	index pointing at the viewer	at|finger|hand|index|pointing|poke|viewer|you
🫶	heart hands	<3|hands|heart|love|you
🫷	leftwards pushing hand	block|five|halt|hand|high|hold|leftward|leftwards|pause|push|pushing|refuse|slap|stop|wait
🫸	rightwards pushing hand	block|five|halt|hand|high|hold|pause|push|pushing|refuse|rightward|rightwards|slap|stop|wait
